1,0,1
4,0,1
13,0,1
21,0,1
27,0,1
0,1,1
5,1,1
6,1,1
8,1,1
24,1,1
3,2,1
4,2,1
5,2,1
6,2,1
9,2,1
14,2,1
2,3,1
6,3,1
7,3,1
8,3,1
11,3,1
23,3,1
0,4,1
2,4,1
5,4,1
13,4,1
14,4,1
1,5,1
2,5,1
4,5,1
6,5,1
7,5,1
20,5,1
1,6,1
2,6,1
3,6,1
5,6,1
7,6,1
9,6,1
10,6,1
19,6,1
23,6,1
24,6,1
28,6,1
3,7,1
5,7,1
6,7,1
26,7,1
1,8,1
3,8,1
24,8,1
2,9,1
6,9,1
28,9,1
6,10,1
11,10,1
15,10,1
18,10,1
28,10,1
3,11,1
10,11,1
12,11,1
16,11,1
29,11,1
11,12,1
15,12,1
29,12,1
0,13,1
4,13,1
21,13,1
22,13,1
2,14,1
4,14,1
18,14,1
25,14,1
10,15,1
12,15,1
11,16,1
17,16,1
16,17,1
29,17,1
10,18,1
14,18,1
19,18,1
28,18,1
6,19,1
18,19,1
25,19,1
5,20,1
21,20,1
25,20,1
0,21,1
13,21,1
20,21,1
27,21,1
13,22,1
26,22,1
27,22,1
3,23,1
6,23,1
24,23,1
1,24,1
6,24,1
8,24,1
23,24,1
14,25,1
19,25,1
20,25,1
7,26,1
22,26,1
0,27,1
21,27,1
22,27,1
29,27,1
6,28,1
9,28,1
10,28,1
18,28,1
11,29,1
12,29,1
17,29,1
27,29,1
